Counter,Row,ColumnCounter,Video,Filename,"What is the start time of the commercial? (Remember to pause the video at the black frame right before the commercial starts, and then click on Share and click the ""start at"" button before copying and pasting the URL here)","What is the END time of the commercial? (Remember to pause the video at the black frame right after the commercial ends, and then click on Share and click the ""start at"" button before copying and pasting the URL here)",Who is the ad's sponsor (or the company who makes the product in the ad)?,"What is the product being advertised, if any?",Is the Commercial Particularly Interesting/Weird/Cool?,Blank,Date,Sponsor--Product,StartTime,EndTime,Time,Interesting,Formula
48,20,283,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=4770,https://youtu.be/s_azifO7YNw?t=4785,Sensodyne,Toothpaste,No,0,1989 08 15,Sensodyne--Toothpaste,4770,4785,15,,"ffmpeg -ss 4769 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""Sensodyne--Toothpaste__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_4770s"".mp4"
49,20,289,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=4785,https://youtu.be/s_azifO7YNw?t=4800,Tums,Extra strength tabs,No,0,1989 08 15,Tums--Extra strength tabs,4785,4800,15,,"ffmpeg -ss 4784 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""Tums--Extra strength tabs__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_4785s"".mp4"
50,20,295,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5037,https://youtu.be/s_azifO7YNw?t=5067,Hartz ,Blockade dog tick repellent,No,0,1989 08 15,Hartz --Blockade dog tick repellent,5037,5067,30,,"ffmpeg -ss 5036 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Hartz --Blockade dog tick repellent__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5037s"".mp4"
51,20,301,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5068,https://youtu.be/s_azifO7YNw?t=5098,Western Union,quick transfers,Yes,0,1989 08 15,Western Union--quick transfers,5068,5098,30,Int,"ffmpeg -ss 5067 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Western Union--quick transfers_Int_ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5068s"".mp4"
52,20,307,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5098,https://youtu.be/s_azifO7YNw?t=5113,Anbesol,Toothache relief,No,0,1989 08 15,Anbesol--Toothache relief,5098,5113,15,,"ffmpeg -ss 5097 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""Anbesol--Toothache relief__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5098s"".mp4"
53,20,313,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5113,https://youtu.be/s_azifO7YNw?t=5128,Maalox Plus,antacid,No,0,1989 08 15,Maalox Plus--antacid,5113,5128,15,,"ffmpeg -ss 5112 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""Maalox Plus--antacid__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5113s"".mp4"
54,20,319,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5128,https://youtu.be/s_azifO7YNw?t=5140,Nightline,later show,No,0,1989 08 15,Nightline--later show,5128,5140,12,,"ffmpeg -ss 5127 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 15 ""Nightline--later show__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5128s"".mp4"
55,20,325,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5322,https://youtu.be/s_azifO7YNw?t=5353,Miller,Beer,No,0,1989 08 15,Miller--Beer,5322,5353,31,,"ffmpeg -ss 5321 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 34 ""Miller--Beer__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5322s"".mp4"
56,20,331,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5353,https://youtu.be/s_azifO7YNw?t=5383,Dominos,pizza,No,0,1989 08 15,Dominos--pizza,5353,5383,30,,"ffmpeg -ss 5352 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Dominos--pizza__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5353s"".mp4"
57,20,337,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5383,https://youtu.be/s_azifO7YNw?t=5393,Ross,back to school clothes,No,0,1989 08 15,Ross--back to school clothes,5383,5393,10,,"ffmpeg -ss 5382 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 13 ""Ross--back to school clothes__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5383s"".mp4"
58,20,343,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5913,https://youtu.be/s_azifO7YNw?t=5944,Citibank,,No,0,1989 08 15,Citibank--,5913,5944,31,,"ffmpeg -ss 5912 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 34 ""Citibank--__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5913s"".mp4"
59,20,349,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5944,https://youtu.be/s_azifO7YNw?t=5958,NutraSweet,soda,No,0,1989 08 15,NutraSweet--soda,5944,5958,14,,"ffmpeg -ss 5943 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 17 ""NutraSweet--soda__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5944s"".mp4"
60,20,355,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5959,https://youtu.be/s_azifO7YNw?t=5974,Serta,perfect sleeper,No,0,1989 08 15,Serta--perfect sleeper,5959,5974,15,,"ffmpeg -ss 5958 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""Serta--perfect sleeper__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5959s"".mp4"
61,20,361,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=5974,https://youtu.be/s_azifO7YNw?t=6004,Mercedes Benz,cars,Yes,0,1989 08 15,Mercedes Benz--cars,5974,6004,30,Int,"ffmpeg -ss 5973 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Mercedes Benz--cars_Int_ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_5974s"".mp4"
62,20,367,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6005,https://youtu.be/s_azifO7YNw?t=6034,Calvin Klein,eternity fragrance,Yes,0,1989 08 15,Calvin Klein--eternity fragrance,6005,6034,29,Int,"ffmpeg -ss 6004 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 32 ""Calvin Klein--eternity fragrance_Int_ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6005s"".mp4"
63,20,373,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6380,https://youtu.be/s_azifO7YNw?t=6411,Acura,legend coupe,Yes,0,1989 08 15,Acura--legend coupe,6380,6411,31,Int,"ffmpeg -ss 6379 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 34 ""Acura--legend coupe_Int_ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6380s"".mp4"
64,20,379,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6411,https://youtu.be/s_azifO7YNw?t=6425,Nutra Sweet ,sweetener,No,0,1989 08 15,Nutra Sweet --sweetener,6411,6425,14,,"ffmpeg -ss 6410 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 17 ""Nutra Sweet --sweetener__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6411s"".mp4"
65,20,385,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6426,https://youtu.be/s_azifO7YNw?t=6441,STP,son of a gun car cleaner,No,0,1989 08 15,STP--son of a gun car cleaner,6426,6441,15,,"ffmpeg -ss 6425 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""STP--son of a gun car cleaner__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6426s"".mp4"
66,20,391,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6441,https://youtu.be/s_azifO7YNw?t=6471,El Torito,fajita fiesta,No,0,1989 08 15,El Torito--fajita fiesta,6441,6471,30,,"ffmpeg -ss 6440 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""El Torito--fajita fiesta__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6441s"".mp4"
67,20,397,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6472,https://youtu.be/s_azifO7YNw?t=6501,Estee Lauder,lipstick,No,0,1989 08 15,Estee Lauder--lipstick,6472,6501,29,,"ffmpeg -ss 6471 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 32 ""Estee Lauder--lipstick__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6472s"".mp4"
68,20,403,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6502,https://youtu.be/s_azifO7YNw?t=6532,Bank of America,Alpha Banking,No,0,1989 08 15,Bank of America--Alpha Banking,6502,6532,30,,"ffmpeg -ss 6501 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Bank of America--Alpha Banking__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6502s"".mp4"
69,20,409,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6868,https://youtu.be/s_azifO7YNw?t=6900,Columbia Pictures,Casualties of War,No,0,1989 08 15,Columbia Pictures--Casualties of War,6868,6900,32,,"ffmpeg -ss 6867 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 35 ""Columbia Pictures--Casualties of War__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6868s"".mp4"
70,20,415,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6900,https://youtu.be/s_azifO7YNw?t=6929,Sweet One,sweetener,No,0,1989 08 15,Sweet One--sweetener,6900,6929,29,,"ffmpeg -ss 6899 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 32 ""Sweet One--sweetener__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6900s"".mp4"
71,20,421,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6930,https://youtu.be/s_azifO7YNw?t=6944,Kraft,Velveeta Mac n Cheese,No,0,1989 08 15,Kraft--Velveeta Mac n Cheese,6930,6944,14,,"ffmpeg -ss 6929 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 17 ""Kraft--Velveeta Mac n Cheese__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6930s"".mp4"
72,20,427,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6945,https://youtu.be/s_azifO7YNw?t=6975,Toyota,1989 Toyota Camry,No,0,1989 08 15,Toyota--1989 Toyota Camry,6945,6975,30,,"ffmpeg -ss 6944 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Toyota--1989 Toyota Camry__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6945s"".mp4"
73,20,433,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=6975,https://youtu.be/s_azifO7YNw?t=6990,V8,juice,Yes,0,1989 08 15,V8--juice,6975,6990,15,Int,"ffmpeg -ss 6974 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 18 ""V8--juice_Int_ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_6975s"".mp4"
74,20,439,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=7170,https://youtu.be/s_azifO7YNw?t=7200,Unsung Americans,volunteer service,No,0,1989 08 15,Unsung Americans--volunteer service,7170,7200,30,,"ffmpeg -ss 7169 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Unsung Americans--volunteer service__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_7170s"".mp4"
75,20,445,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=7200,https://youtu.be/s_azifO7YNw?t=7220,ABC Wednesday,tv shows,No,0,1989 08 15,ABC Wednesday--tv shows,7200,7220,20,,"ffmpeg -ss 7199 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 23 ""ABC Wednesday--tv shows__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_7200s"".mp4"
76,20,451,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=7220,https://youtu.be/s_azifO7YNw?t=7250,Vons,watermelons,No,0,1989 08 15,Vons--watermelons,7220,7250,30,,"ffmpeg -ss 7219 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Vons--watermelons__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_7220s"".mp4"
77,20,457,https://youtu.be/s_azifO7YNw,1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM,https://youtu.be/s_azifO7YNw?t=7250,https://youtu.be/s_azifO7YNw?t=7280,Coco's,fresh fish,No,0,1989 08 15,Coco's--fresh fish,7250,7280,30,,"ffmpeg -ss 7249 -i ""1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM"".mp4 -c copy -t 33 ""Coco's--fresh fish__ zz_1989 08 15_1989 08 15 0000 US NA024756 V8 VHS52 MB4 H31 CM_7250s"".mp4"
1,21,1,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=355,https://youtu.be/UikhBHamQlo?t=385,Fox Studios,A film called Casualties of War,Yes,0,1989 08 15,Fox Studios--A film called Casualties of War,355,385,30,Int,"ffmpeg -ss 354 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Fox Studios--A film called Casualties of War_Int_ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_355s"".mp4"
2,21,7,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=387,https://youtu.be/UikhBHamQlo?t=416,Schick Hospital Ad for Alcoholism Treatment,Treatment ,No,0,1989 08 15,Schick Hospital Ad for Alcoholism Treatment--Treatment ,387,416,29,,"ffmpeg -ss 386 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 32 ""Schick Hospital Ad for Alcoholism Treatment--Treatment __ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_387s"".mp4"
3,21,13,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=431,https://youtu.be/UikhBHamQlo?t=461,Chanel,Perfume,No,0,1989 08 15,Chanel--Perfume,431,461,30,,"ffmpeg -ss 430 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Chanel--Perfume__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_431s"".mp4"
4,21,19,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=462,https://youtu.be/UikhBHamQlo?t=491,California Lottery Scratchers,Opportunity for a California Match Vacation,No,0,1989 08 15,California Lottery Scratchers--Opportunity for a California Match Vacation,462,491,29,,"ffmpeg -ss 461 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 32 ""California Lottery Scratchers--Opportunity for a California Match Vacation__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_462s"".mp4"
5,21,25,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=767,https://youtu.be/UikhBHamQlo?t=798,Jordache Basics,Jeans,Yes,0,1989 08 15,Jordache Basics--Jeans,767,798,31,Int,"ffmpeg -ss 766 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 34 ""Jordache Basics--Jeans_Int_ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_767s"".mp4"
6,21,31,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=798,https://youtu.be/UikhBHamQlo?t=828,Save-on Drugs Store ,General Hardware Objects,No,0,1989 08 15,Save-on Drugs Store --General Hardware Objects,798,828,30,,"ffmpeg -ss 797 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Save-on Drugs Store --General Hardware Objects__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_798s"".mp4"
7,21,37,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=842,https://youtu.be/UikhBHamQlo?t=873,Pizza Hut,Pizza Hut Meat Lovers and Supreme Pizza Special,No,0,1989 08 15,Pizza Hut--Pizza Hut Meat Lovers and Supreme Pizza Special,842,873,31,,"ffmpeg -ss 841 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 34 ""Pizza Hut--Pizza Hut Meat Lovers and Supreme Pizza Special__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_842s"".mp4"
8,21,43,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=873,https://youtu.be/UikhBHamQlo?t=903,California Lottery,Lottery Tickets,No,0,1989 08 15,California Lottery--Lottery Tickets,873,903,30,,"ffmpeg -ss 872 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""California Lottery--Lottery Tickets__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_873s"".mp4"
9,21,49,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1101,https://youtu.be/UikhBHamQlo?t=1133,Forest Lawn,Mortuary/Cemetary services,No,0,1989 08 15,Forest Lawn--Mortuary/Cemetary services,1101,1133,32,,"ffmpeg -ss 1100 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 35 ""Forest Lawn--Mortuary/Cemetary services__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1101s"".mp4"
10,21,55,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1133,https://youtu.be/UikhBHamQlo?t=1163,Buffers store,$25 purchase of Estee Lauder includes a free gift,No,0,1989 08 15,Buffers store--$25 purchase of Estee Lauder includes a free gift,1133,1163,30,,"ffmpeg -ss 1132 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Buffers store--$25 purchase of Estee Lauder includes a free gift__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1133s"".mp4"
11,21,61,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1178,https://youtu.be/UikhBHamQlo?t=1208,Boys Markets,California Fresh Eggs ,Yes,0,1989 08 15,Boys Markets--California Fresh Eggs ,1178,1208,30,Int,"ffmpeg -ss 1177 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Boys Markets--California Fresh Eggs _Int_ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1178s"".mp4"
12,21,67,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1208,https://youtu.be/UikhBHamQlo?t=1208,Chevron,For Chevron gas,No,0,1989 08 15,Chevron--For Chevron gas,1208,1208,0,,"ffmpeg -ss 1207 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 3 ""Chevron--For Chevron gas__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1208s"".mp4"
13,21,73,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1361,https://youtu.be/UikhBHamQlo?t=1372,C&R Clothiers,Dry Cleaning services,No,0,1989 08 15,C&R Clothiers--Dry Cleaning services,1361,1372,11,,"ffmpeg -ss 1360 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 14 ""C&R Clothiers--Dry Cleaning services__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1361s"".mp4"
14,21,79,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1372,https://youtu.be/UikhBHamQlo?t=1402,Home Depot,General Sales items,No,0,1989 08 15,Home Depot--General Sales items,1372,1402,30,,"ffmpeg -ss 1371 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Home Depot--General Sales items__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1372s"".mp4"
15,21,85,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1420,https://youtu.be/UikhBHamQlo?t=1450,Ford ,General Car sales advertising,No,0,1989 08 15,Ford --General Car sales advertising,1420,1450,30,,"ffmpeg -ss 1419 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 33 ""Ford --General Car sales advertising__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1420s"".mp4"
16,21,91,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1450,https://youtu.be/UikhBHamQlo?t=1479,Wells Fargo Bank,Bank Services,No,0,1989 08 15,Wells Fargo Bank--Bank Services,1450,1479,29,,"ffmpeg -ss 1449 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 32 ""Wells Fargo Bank--Bank Services__ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1450s"".mp4"
17,21,97,https://youtu.be/UikhBHamQlo,1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM,https://youtu.be/UikhBHamQlo?t=1479,https://youtu.be/UikhBHamQlo?t=1510,Disney,Advertisment for Splash Mountain ride,Yes,0,1989 08 15,Disney--Advertisment for Splash Mountain ride,1479,1510,31,Int,"ffmpeg -ss 1478 -i ""1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM"".mp4 -c copy -t 34 ""Disney--Advertisment for Splash Mountain ride_Int_ zz_1989 08 15_1989 08 15 0000 US NA024757 V9 VHS50 MB24 H5 CM_1479s"".mp4"
